original name,filename,isTarget,isOverlap,url,imageID
2008 Bürger 10.1109/TVCG.2008.120 c 6.png,sci23.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci23.png,I1
2008 Caban 10.1109/TVCG.2008.169 c 11.png,sci30.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci30.png,I2
2008 Caban 10.1109/TVCG.2008.169 c 12.png,sci31.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci31.png,I3
2008 Caban 10.1109/TVCG.2008.169 c 3.png,sci34.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci34.png,I4
2008 Cipriano 10.1109/TVCG.2008.168 c 1.png,sci56.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci56.png,I5
2008 Correa 10.1109/TVCG.2008.162 c 2.png,sci64.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci64.png,I6
2008 Correa 10.1109/TVCG.2008.162 c 7.png,sci70.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci70.png,I7
2008 Hua 10.1109/TVCG.2008.134 c 3.png,sci129.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci129.png,I8
2008 Joshi 10.1109/TVCG.2008.123 c 1.png,sci136.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci136.png,I9
2008 Joshi 10.1109/TVCG.2008.150 c 14.png,sci151.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci151.png,I10
2008 Joshi 10.1109/TVCG.2008.150 c 3.png,sci156.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci156.png,I11
2008 Krüger 10.1109/TVCG.2008.161 c 2.png,sci172.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci172.png,I12
2008 Mayerich 10.1109/TVCG.2008.179 c 2.png,sci229.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci229.png,I13
2008 Meyer-Spradow 10.1109/TVCG.2008.136 c 8.png,sci247.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci247.png,I14
2008 Termeer 10.1109/TVCG.2008.180 c 4.png,sci293.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci293.png,I15
2008 Tricoche 10.1109/TVCG.2008.148 c 3.png,sci299.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci299.png,I16
2008 Wang 10.1109/TVCG.2008.132 c 3.png,sci315.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci315.png,I17
2008 Zhou 10.1109/TVCG.2008.176 c 1.png,sci339.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci339.png,I18
2009 Banks 10.1109/TVCG.2009.137 c 1.png,sci348.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci348.png,I19
