imagename,imageID,url,originalID,score
bio722.png,I1,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio722.png,I892,3.020
bio189.png,I2,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio189.png,I780,2.539
bio387.png,I3,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio387.png,I826,2.533
bio859.png,I4,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio859.png,I921,2.505
bio315.png,I5,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio315.png,I811,2.494
bio178.png,I6,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio178.png,I777,2.475
bio847.png,I7,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio847.png,I918,2.426
bio668.png,I8,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio668.png,I881,2.413
bio661.png,I9,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio661.png,I878,2.404
bio22.png,I10,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio22.png,I752,2.295
bio255.png,I11,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio255.png,I798,2.281
bio848.png,I12,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio848.png,I919,2.252
bio314.png,I13,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio314.png,I810,2.242
bio723.png,I14,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio723.png,I893,2.224
bio842.png,I15,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio842.png,I916,2.218
bio285.png,I16,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio285.png,I803,2.204
bio308.png,I17,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio308.png,I808,2.171
bio306.png,I18,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio306.png,I807,2.160
bio794.png,I19,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio794.png,I905,2.151
bio470.png,I20,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio470.png,I839,2.141
bio626.png,I21,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio626.png,I872,2.137
bio574.png,I22,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio574.png,I861,2.135
bio492.png,I23,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio492.png,I843,2.135
bio801.png,I24,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio801.png,I907,2.120
bio629.png,I25,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio629.png,I874,2.116
bio229.png,I26,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio229.png,I788,2.096
bio684.png,I27,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio684.png,I883,2.093
bio628.png,I28,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio628.png,I873,2.092
bio700.png,I29,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio700.png,I887,2.092
bio351.png,I30,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio351.png,I816,2.087
bio253.png,I31,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio253.png,I797,1.114
bio159.png,I32,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio159.png,I774,1.102
bio506.png,I33,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio506.png,I848,1.101
bio813.png,I34,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio813.png,I909,1.101
bio66.png,I35,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio66.png,I759,1.101
bio718.png,I36,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio718.png,I891,1.083
bio821.png,I37,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio821.png,I910,1.076
bio262.png,I38,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio262.png,I801,1.075
bio547.png,I39,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio547.png,I858,1.063
bio480.png,I40,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio480.png,I840,1.059
bio213.png,I41,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio213.png,I783,1.054
bio446.png,I42,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio446.png,I836,1.037
bio192.png,I43,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio192.png,I781,1.022
bio233.png,I44,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio233.png,I791,0.995
bio131.png,I45,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio131.png,I767,0.984
bio9.png,I46,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio9.png,I748,0.971
bio205.png,I47,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio205.png,I782,0.965
bio563.png,I48,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio563.png,I859,0.921
bio852.png,I49,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio852.png,I920,0.902
bio652.png,I50,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio652.png,I877,0.885
bio297.png,I51,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio297.png,I805,0.868
bio231.png,I52,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio231.png,I790,0.865
bio519.png,I53,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio519.png,I850,0.859
bio17.png,I54,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio17.png,I750,0.837
bio15.png,I55,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio15.png,I749,0.817
bio424.png,I56,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio424.png,I832,0.754
bio355.png,I57,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio355.png,I818,0.744
bio743.png,I58,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio743.png,I895,0.724
bio350.png,I59,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio350.png,I815,0.719
bio784.png,I60,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio784.png,I904,0.544
bio349.png,I61,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio349.png,I814,1.388
bio698.png,I62,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio698.png,I886,1.372
